composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
001,a,2,7,2,1.6467552439540682,234.06194987280293,5.355387543970053,-1.1495557946626915,0.2733247312244266,-3.9104818375928923
001,a,2,8,2,1.3776157735522645,267.8944092206837,17.94252401899908,2.532191004363338,5.919378439967213,7.445040347460476
001,a,2,9,3,1.6338301928430852,249.32466640102433,4.7214315882265785,-0.8781622532892726,0.18993111653274472,-3.3548920971146776
001,a,2,10,3,1.487781388570511,244.2522771853748,6.505340419700465,-0.6191768611551258,1.03251476761506,-1.6168583536847423
001,a,3,1,2,1.3211169036864874,247.31276839116254,6.281965440517018,-2.1459621266185995,0.5549531249607051,-11.182476712775804
001,a,3,2,2,1.3102169323335104,253.54796696355805,7.1168189785440745,-6.452466823678678,-1.499250816451217,-18.685664497217495
001,a,3,3,3,1.379504039542752,264.74896268282805,8.438915748008792,-3.236661850008675,0.6957664040396382,-11.901905831153355
001,a,3,4,2,1.3548791781157163,240.14048075978258,5.377788166724229,-5.192078590850614,-1.0230087936945036,-20.187836213052172
001,a,3,5,3,1.4387446242416786,291.598856956545,8.286625323193267,-3.2911910171479417,-2.188855955329964,-20.011194253074724
001,a,3,6,2,1.530992996332806,251.51601259323752,6.742376208742394,-3.2385663100765116,-1.4042829454076446,-14.781712976879723
001,a,3,7,3,1.6144764356322128,240.81995621693517,5.760382206803024,-3.9564386819430486,-1.13731702548972,-19.67395130291684
001,a,3,8,2,1.4073875347556424,258.46322422728196,9.370734363410442,0.9335313673773556,4.891041154898096,2.5350655935291004
001,a,3,9,3,1.2574324036690214,302.209849167773,12.041046759057938,-6.410946412298113,-5.527811333829481,-29.48289005956104
001,a,3,10,2,1.1174804945320602,239.41719989204273,20.33319141885653,-13.469461419613024,-8.046102152417696,-71.91181631433166
001,a,4,1,3,1.4359988962616939,289.7216151434661,4.752881616319584,-2.4728558576544835,-1.9444082098002522,-13.158213457105308
