composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
006,p,5,4,3,1.4832565581007202,274.66820189951403,12.138491186140417,-10.474531284451821,-0.24504640943366843,-32.41422409522442
006,p,5,5,2,1.4520783852539694,350.9486136924523,11.045141948647162,-5.109474218959189,-1.1164722145224062,-22.791570286586825
006,p,5,6,3,1.5945029321926825,287.1399586138284,10.824100198654921,-6.291799548967984,-2.088242714990247,-22.906407597188302
006,p,5,7,2,1.4495481201751659,242.88568861503944,5.699961538250126,-2.3586542626392393,-0.16897538229526096,-10.244256618015974
006,p,5,8,3,1.6782164841766445,308.54122521646445,13.774920006688948,2.0071165933369577,7.529755241420738,4.615225142019357
006,p,5,9,3,1.3390307482240473,347.4937717567524,12.11242486720317,-3.2555551633597366,-4.630812158236322,-12.895436888281017
006,p,5,10,2,1.2178570019849388,252.28004228373112,10.621246691095417,-6.268820118270433,-7.47346361042053,-41.404523601939616
cen,0,1,1,2,1.3245248129707006,328.639380712369,6.760805843861286,-4.363174438637789,-0.8901288298733088,-22.11957199119279
cen,0,1,2,3,1.3014430777436479,297.9529706983295,8.044727352729016,-6.973891361117597,-2.3867284528695145,-23.05775873802606
cen,0,1,3,3,1.3613534359558406,323.96232838897413,9.422127873589519,-6.040081588060636,-3.1400891304955967,-25.0831773516468
cen,0,1,4,3,1.2139048284395684,298.95650906961583,8.063013262617403,-7.909338424833417,-4.250173722087921,-28.802321081596546
cen,0,1,5,3,1.1955814237763578,328.80197857422274,9.625734355284298,-4.374982892176797,-3.91490368692092,-17.795554980069216
cen,0,1,6,2,1.1919174732913964,291.5580542878978,6.582429383542435,-1.311690939615693,-4.3220895651144415,-4.921634234514532
cen,0,1,7,3,1.0436623505841514,297.4954067966088,7.530433792114325,-1.7331457421509744,-2.849877813672415,-19.15550743102195
cen,0,1,8,3,1.2753195195867537,288.43289566037544,8.911049400859039,2.2664015719946438,4.343613401430029,6.960784878980504
cen,0,1,9,3,1.2408857454140136,322.5675770855291,9.417448713490113,-5.982034823293977,-4.1687206598364055,-20.61279359354698
cen,0,1,10,3,1.1856760763570833,283.58177978652884,8.553584513077357,-2.881034008015233,-0.08945996755000962,-8.45677816245916
cen,0,2,1,3,1.30615690023882,307.36567741101413,10.242089413762216,-6.163953611369502,-5.4877920483542155,-19.250099690315313
cen,0,2,2,3,1.197183063728776,281.33860618697156,7.682556705399582,-7.4681777568227385,-2.331546408951356,-32.11276240217043
