composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxfo,stMm,pendiente_v,st_t,pendiente_t
muestra_2,2,n,5,1.5078998738588858,5.305392048032405,251.9392070244627,410.1767311168882,8.43803998149535,-0.01237470566418352,-5.593366960210951,-23.438670282893657
muestra_2,2,n,6,1.3843497332589934,5.7788865109733845,194.84204002432668,331.0747507620374,9.178223939669689,-0.029333200052154305,-8.870456531822988,-27.022007622863264
muestra_2,2,n,7,1.3631992749409534,5.868547722303123,227.12583573079343,359.69319482515954,7.959300501895289,-0.010272757681155237,-2.9135546383469655,-15.587416579370759
muestra_2,2,n,8,1.5176500433853555,5.271307463053044,210.58568007004408,474.25068942637563,14.054910422197182,0.009423139197900514,3.5911748909426366,11.93929679060465
muestra_2,2,n,9,1.1593596521649054,6.9003608889281,245.5027846320409,436.7554946008253,9.973037574914215,-0.01139300995289813,-3.464332153316119,-18.32344295455836
muestra_2,2,n,10,1.44527460775344,5.535280255449405,193.40757410512754,303.91845479910717,7.8244798591602525,-0.020752892275288138,-6.312122376234539,-16.297444975132805
muestra_2,3,a,1,1.4114500681877757,5.667929868940783,82.75939913393594,410.477118871265,27.72368074351661,-0.01408221270345207,-4.9153161700613754,-20.45151625593898
muestra_2,3,a,2,1.1552474380354596,6.924923385767721,225.47230750443273,330.43921379880885,6.6172158170040944,-0.017151253429487232,-4.534581794149524,-23.387673469116905
muestra_2,3,a,3,1.5269867883543924,5.239076107935069,221.44767154842793,311.5053334112531,5.907492439346372,-0.00841645849859487,-2.186867752324524,-16.46686325870642
muestra_2,3,a,4,1.429989083137805,5.594448303371458,218.41484767130703,339.8251967192951,7.652662726180102,-0.024237406248520443,-6.246013208873658,-21.496968237707346
muestra_2,3,a,5,1.4294674248207286,5.596489896230612,239.96862284847302,413.13728034038195,9.405305670495402,-0.017671827820641386,-6.468871111543185,-24.638040261913208
muestra_2,3,a,6,1.4028705770213108,5.7025930481671745,204.46945336192368,331.84089005814315,8.383276085601176,-0.011247944243834324,-3.059367348328182,-26.559007047079707
